iter	Passed	Remaining
0	0	93
1	1	89
2	2	82
3	3	74
4	3	71
5	4	69
6	5	68
7	5	68
8	6	67
9	7	66
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	59
16	12	59
17	12	59
18	13	58
19	14	57
20	15	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
